Rater;107M;108M;109M;110M;111M;112M;119M;120M;121M;122M;123M;124M;137M;138M;139M;140M;141M;142M;149M;150M;151M;152M;153M;154M;155M;156M;157M;159M;160M;161M;162M;163M;164M;165M;166M;179M;180M;181M;182M;183M;184M;186M;187M;188M;189M;190M;191M;192M;193M
CMR16M_masc78;7;6;5;5;3;7;5;6;5;6;6;6;7;5;7;6;6;4;2;6;4;5;5;6;6;7;7;3;7;7;6;6;7;7;7;5;7;6;5;7;7;4;5;5;5;7;6;7;5
CMR16M_masc79;7;7;5;3;5;7;6;4;4;5;6;5;6;7;5;4;4;3;3;4;7;7;6;3;7;7;7;2;6;6;2;3;7;6;2;5;7;5;7;7;6;6;6;6;4;3;3;4;3
CMR16M_masc80;6;6;5;5;3;7;7;4;6;4;7;7;6;5;7;5;4;3;6;6;6;3;6;6;6;6;6;2;6;7;4;3;6;6;5;4;7;6;5;7;7;3;6;3;2;5;5;6;6
CMR16M_masc81;2;7;4;1;4;7;1;6;4;7;1;4;7;1;7;2;2;2;4;7;1;1;1;4;7;7;1;4;6;7;7;1;1;7;1;4;4;6;1;1;1;1;7;1;4;4;2;1;1
CMR16M_masc82;5;6;5;4;5;6;5;5;5;6;5;4;5;6;6;5;5;4;4;6;4;6;5;5;5;7;6;4;6;6;5;4;5;5;5;5;6;5;5;6;5;5;5;5;4;5;4;6;5
CMR16M_masc83;5;5;5;5;5;4;4;5;5;6;4;3;5;5;5;5;5;5;3;4;5;5;4;5;6;5;6;5;5;4;5;4;5;5;5;6;5;5;5;5;4;5;5;5;5;4;4;6;5
CMR16M_masc84;6;6;3;5;4;6;5;5;5;4;6;5;6;6;4;4;4;5;4;4;4;5;4;6;5;6;5;4;4;4;4;4;5;7;5;4;5;6;5;6;6;4;5;5;6;3;5;5;5
CMR16M_masc85;7;7;7;7;6;7;7;7;7;7;7;7;7;6;6;7;7;6;7;7;7;7;7;5;7;7;7;6;7;6;7;6;7;7;7;7;7;7;7;7;7;6;7;7;7;6;7;7;6
CMR16M_masc86;5;5;7;7;7;7;6;7;5;5;6;5;7;6;7;6;6;6;6;7;6;5;7;3;7;6;6;7;5;6;6;7;5;7;6;6;6;7;6;5;7;6;6;6;6;7;6;6;7
CMR16M_masc87;5;7;3;6;2;5;5;7;4;4;6;3;5;3;6;5;7;4;1;7;5;4;4;4;7;6;7;2;7;6;3;3;7;7;5;5;6;5;4;4;4;4;5;6;4;4;6;5;6
CMR16M_masc88;7;7;7;7;6;7;7;7;7;6;7;7;7;7;7;6;7;5;5;7;7;6;7;7;7;7;7;6;7;7;6;7;7;7;7;7;7;7;7;7;6;6;7;7;7;6;6;7;6
CMR16M_masc89;4;6;4;6;7;7;7;5;5;6;7;5;7;5;5;6;6;6;4;6;5;5;6;5;7;7;6;5;6;7;6;5;5;7;7;6;7;5;5;7;6;5;7;7;7;5;5;7;5
CMR16M_masc90;4;2;7;4;7;2;7;6;5;3;6;1;2;6;4;4;5;1;1;1;5;3;5;6;5;6;6;3;2;3;7;6;2;5;6;3;7;5;4;7;7;2;6;7;5;2;1;7;2
CMR16M_masc91;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;4;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;6;7;7;6;7;7;7;7
CMR16M_masc92;7;5;7;7;6;7;7;6;7;5;7;5;6;7;7;7;5;7;1;7;7;5;7;6;7;7;7;6;7;6;7;5;7;7;7;6;7;7;6;7;7;7;7;5;7;7;7;6;6
CMR16M_masc93;7;7;6;6;6;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;5;7;6;6;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;6;7;6
CMR16M_masc94;4;7;3;2;5;4;7;4;7;5;4;3;6;3;7;3;7;2;2;7;5;3;7;6;1;5;5;4;6;5;4;7;5;7;5;3;7;3;7;7;2;4;6;2;7;3;7;5;2
