Rater;M023;M026;M044;M046;M051;M053;M058;M070;M071;M073;M075;M076;M077;M079;M082;M087;M088;M091;M092;M093;M095;M096;M097;M099;M100;M105;M106;M109;M112;M114;M115;M120;M121;M122;M125;M132;M133;M136;M139;M140;M141;M142;M143;M150;M154;M156;M157;M158;M163;M166;M168;M169;M171;M176;M177;M181;M182;M184;M186;M190;M192;M194;M195;M197;M199;M204
Col_F_attr26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;5;NA;NA;3;NA;NA;NA;4;NA;NA;4;NA;NA;4;4;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;3;2;NA;NA;NA;NA;NA;NA;NA;3;4
Col_F_attr29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;1;NA;4;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr30;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;2;6;NA;NA;NA;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;1;5;NA;NA;NA;NA;NA;NA;NA;3
Col_F_attr31;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;5;NA;2;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr32;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;4;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;4;4
Col_F_attr33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr34;NA;NA;NA;NA;NA;3;NA;4;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;1;NA;NA;1;NA;NA;NA;3;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;2;1;NA;NA;3;NA;3;NA;NA
Col_F_attr35;NA;NA;NA;NA;NA;NA;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;NA;NA;2;2;NA;NA;NA;NA;4;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;4;NA
